Cluster,Number of Nodes,Cores,Total Time,Computation Time,Seconds per Iteration,Run
ANVIL,1,1,2101,2088,50,1
ANVIL,1,2,1432,1372,50,1
ANVIL,1,4,1115,1054,50,1
ANVIL,1,8,956,890,50,1
ANVIL,1,16,924,840,50,1
ANVIL,1,32,544,429,50,1
ANVIL,1,64,439,225,50,1
ANVIL,1,1,2858,2844,50,2
ANVIL,1,2,1412,1354,50,2
ANVIL,1,4,1140,1080,50,2
ANVIL,1,8,1098,1020,50,2
ANVIL,1,16,986,903,50,2
ANVIL,1,32,557,443,50,2
ANVIL,1,64,426,228,50,2
ANVIL,1,1,2097,2083,50,3
ANVIL,1,2,2157,2101,50,3
ANVIL,1,4,1120,1055,50,3
ANVIL,1,8,1075,1009,50,3
ANVIL,1,16,653,568,50,3
ANVIL,1,32,542,437,50,3
ANVIL,1,64,409,215,50,3
ND,1,1,2539,2518,50,1
ND,1,2,2440,2241,50,1
ND,1,4,1185,990,50,1
ND,1,8,798,573,50,1
ND,1,16,682,384,50,1
ND,1,32,995,502,50,1
ND,1,64,,,50,1
